conformer_id,relax_success,relax_method,ff_energy,error
0,True,MMFF94,-1.336857063185806,
1,True,MMFF94,-1.3368570634475616,
2,True,MMFF94,-1.3368570637396835,
3,True,MMFF94,-1.336857064028246,
4,True,MMFF94,-1.5170975761470162,
5,True,MMFF94,-1.3368570640295432,
6,True,MMFF94,-1.336857064039839,
7,True,MMFF94,-1.336857062668035,
8,True,MMFF94,-1.3368570638851018,
9,True,MMFF94,-1.3368570639358692,
10,True,MMFF94,-1.3368570636988815,
11,True,MMFF94,-1.3368570639833384,
12,True,MMFF94,-1.3368570632779484,
13,True,MMFF94,-1.3368570638845276,
14,True,MMFF94,-1.5170975771729927,
15,True,MMFF94,-1.3368570638549686,
16,True,MMFF94,-1.5170975771660227,
17,True,MMFF94,-1.517097577064711,
18,True,MMFF94,-1.5170975755676095,
19,True,MMFF94,-1.3368570631646346,
